2023-05-23 01:22:38:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 0.00099, 0.01, 0.01]
2023-05-24 00:19:09:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-24 00:28:12:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-24 00:37:12:hist_3_v0_00: p=11422: cost=0.29580432176589966 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-24 00:46:14:hist_3_v0_00: p=11422: cost=0.2958381175994873 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.0105, 'mu_D_180': 0.01}
2023-05-24 00:55:18:hist_3_v0_00: p=11422: cost=0.29575207829475403 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.0105}
2023-05-24 01:04:26:hist_3_v0_00: p=11422: cost=0.2957472801208496 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009939999999999997, 'mu_D': 0.0095, 'mu_D_180': 0.010200000000000002}
2023-05-24 01:13:34:hist_3_v0_00: p=11422: cost=0.2956939935684204 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009959999999999995, 'mu_D': 0.008999999999999998, 'mu_D_180': 0.010300000000000004}
2023-05-24 01:22:42:hist_3_v0_00: p=11422: cost=0.2957374155521393 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009964000000000002, 'mu_D': 0.0096, 'mu_D_180': 0.010320000000000005}
2023-05-24 01:31:54:hist_3_v0_00: p=11422: cost=0.29571232199668884 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009989600000000001, 'mu_D': 0.009440000000000002, 'mu_D_180': 0.010448000000000004}
2023-05-24 01:41:11:hist_3_v0_00: p=11422: cost=0.29568615555763245 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.009216, 'mu_D_180': 0.010627200000000005}
2023-05-24 01:50:20:hist_3_v0_00: p=11422: cost=0.2956222593784332 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.008824000000000002, 'mu_D_180': 0.010940800000000007}
2023-05-24 01:59:31:hist_3_v0_00: p=11422: cost=0.295613169670105 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009925439999999997, 'mu_D': 0.008745600000000001, 'mu_D_180': 0.011003520000000008}
2023-05-24 02:08:42:hist_3_v0_00: p=11422: cost=0.29552599787712097 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009888159999999996, 'mu_D': 0.008118400000000001, 'mu_D_180': 0.01150528000000001}
2023-05-24 02:18:11:hist_3_v0_00: p=11422: cost=0.29557690024375916 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.007992959999999999, 'mu_D_180': 0.010905632000000014}
2023-05-24 02:27:25:hist_3_v0_00: p=11422: cost=0.2955138385295868 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009971103999999995, 'mu_D': 0.007750144000000002, 'mu_D_180': 0.011319884800000011}
2023-05-24 02:36:44:hist_3_v0_00: p=11422: cost=0.29539504647254944 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009974655999999992, 'mu_D': 0.0068252160000000055, 'mu_D_180': 0.011819827200000018}
2023-05-24 02:45:59:hist_3_v0_00: p=11422: cost=0.29540854692459106 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009939526399999994, 'mu_D': 0.006864230399999999, 'mu_D_180': 0.011740615680000016}
2023-05-24 02:55:20:hist_3_v0_00: p=11422: cost=0.2953030467033386 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009960936959999998, 'mu_D': 0.006449922560000003, 'mu_D_180': 0.012464861952000021}
2023-05-24 03:04:53:hist_3_v0_00: p=11422: cost=0.2951241433620453 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000996140544, 'mu_D': 0.005174883840000005, 'mu_D_180': 0.013547292928000026}
2023-05-24 03:14:09:hist_3_v0_00: p=11422: cost=0.29519739747047424 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009905499135999993, 'mu_D': 0.005166276096000002, 'mu_D_180': 0.012866659123200022}
2023-05-24 03:23:25:hist_3_v0_00: p=11422: cost=0.29510489106178284 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000986769879039999, 'mu_D': 0.005, 'mu_D_180': 0.013686237972480026}
2023-05-24 03:33:00:hist_3_v0_00: p=11422: cost=0.2949724495410919 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009801548185599984, 'mu_D': 0.005, 'mu_D_180': 0.01507654095872003}
2023-05-24 03:42:20:hist_3_v0_00: p=11422: cost=0.2950189709663391 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000994489406463999, 'mu_D': 0.005, 'mu_D_180': 0.014515094355968036}
2023-05-24 03:51:40:hist_3_v0_00: p=11422: cost=0.2949391305446625 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009895674730495993, 'mu_D': 0.005, 'mu_D_180': 0.015389550146355237}
2023-05-24 04:00:55:hist_3_v0_00: p=11422: cost=0.29477953910827637 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009873748895743995, 'mu_D': 0.005, 'mu_D_180': 0.01721401737953285}
2023-05-24 04:10:14:hist_3_v0_00: p=11422: cost=0.29476064443588257 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009820182288793598, 'mu_D': 0.005, 'mu_D_180': 0.01746801469816837}
2023-05-24 04:19:39:hist_3_v0_00: p=11422: cost=0.2945367395877838 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00097429454331904, 'mu_D': 0.005, 'mu_D_180': 0.02029210844725255}
2023-05-24 04:28:58:hist_3_v0_00: p=11422: cost=0.2946034371852875 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009824317671669755, 'mu_D': 0.005, 'mu_D_180': 0.01939136250458938}
2023-05-24 04:38:21:hist_3_v0_00: p=11422: cost=0.29448065161705017 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009713576260337651, 'mu_D': 0.005, 'mu_D_180': 0.021048356530425118}
2023-05-24 04:47:48:hist_3_v0_00: p=11422: cost=0.2942252457141876 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000958966167050648, 'mu_D': 0.005, 'mu_D_180': 0.024798888331637667}
2023-05-24 04:57:13:hist_3_v0_00: p=11422: cost=0.2942647635936737 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009587994678044256, 'mu_D': 0.005, 'mu_D_180': 0.024194072692724954}
2023-05-24 05:06:35:hist_3_v0_00: p=11422: cost=0.2940673828125 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009645919154061969, 'mu_D': 0.005, 'mu_D_180': 0.027279638783574926}
2023-05-24 05:16:00:hist_3_v0_00: p=11422: cost=0.2939159870147705 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009568104638292959, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 05:25:30:hist_3_v0_00: p=11422: cost=0.2939205467700958 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009451460740937546, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 05:34:57:hist_3_v0_00: p=11422: cost=0.29392606019973755 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009351749192718902, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 05:44:20:hist_3_v0_00: p=11422: cost=0.2939327657222748 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009276642935009656, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 05:53:40:hist_3_v0_00: p=11422: cost=0.2939310669898987 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000930705299294196, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 06:03:02:hist_3_v0_00: p=11422: cost=0.2939372956752777 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009192342529453928, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 06:12:45:hist_3_v0_00: p=11422: cost=0.2939319610595703 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009291672314717067, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-24 06:12:45:felx_hist: p=11422, method=Nelder-Mead, nit=24, nfev=40, success=True, message=Optimization terminated successfully.
2023-05-24 06:12:45:felx_hist: Init [2.5, 0.001, 0.00099, 0.01, 0.01]
2023-05-24 06:12:45:felx_hist: Optimimal {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009568104638292959, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-27 12:12:22:felx_hist: Optimisation Powell method - init [2.5, 0.001, 0.00099, 0.01, 0.01]
2023-05-27 12:21:16:hist_3_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 12:30:27:hist_3_v0_00: p=11422: cost=0.29950833320617676 {'c_scav': 1.881966011250105, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 12:39:28:hist_3_v0_00: p=11422: cost=0.29757675528526306 {'c_scav': 2.118033988749895, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 12:48:32:hist_3_v0_00: p=11422: cost=0.29674670100212097 {'c_scav': 2.26393202250021, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 12:57:41:hist_3_v0_00: p=11422: cost=0.2963356077671051 {'c_scav': 2.3541019662496847, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:06:45:hist_3_v0_00: p=11422: cost=0.29611942172050476 {'c_scav': 2.4098300562505255, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:15:52:hist_3_v0_00: p=11422: cost=0.2959941327571869 {'c_scav': 2.4442719099991588, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:24:59:hist_3_v0_00: p=11422: cost=0.2959199845790863 {'c_scav': 2.465558146251367, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:34:10:hist_3_v0_00: p=11422: cost=0.29587557911872864 {'c_scav': 2.4787137637477916, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:43:34:hist_3_v0_00: p=11422: cost=0.295849084854126 {'c_scav': 2.486844382503575, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 13:52:44:hist_3_v0_00: p=11422: cost=0.295833021402359 {'c_scav': 2.4918693812442165, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:01:56:hist_3_v0_00: p=11422: cost=0.2958248257637024 {'c_scav': 2.4949750012593586, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:11:10:hist_3_v0_00: p=11422: cost=0.29581859707832336 {'c_scav': 2.496894379984858, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:20:26:hist_3_v0_00: p=11422: cost=0.2958148717880249 {'c_scav': 2.4980806212745, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:29:39:hist_3_v0_00: p=11422: cost=0.2958126366138458 {'c_scav': 2.498813758710358, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:38:54:hist_3_v0_00: p=11422: cost=0.295811265707016 {'c_scav': 2.4992668625641428, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:48:10:hist_3_v0_00: p=11422: cost=0.29581040143966675 {'c_scav': 2.499546896146215, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 14:57:26:hist_3_v0_00: p=11422: cost=0.29580986499786377 {'c_scav': 2.4997199664179273, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:06:44:hist_3_v0_00: p=11422: cost=0.2958095073699951 {'c_scav': 2.499826929728288, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:16:21:hist_3_v0_00: p=11422: cost=0.29580938816070557 {'c_scav': 2.4998930366896395, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:25:41:hist_3_v0_00: p=11422: cost=0.2958093583583832 {'c_scav': 2.4999263700245593, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:35:00:hist_3_v0_00: p=11422: cost=0.29580923914909363 {'c_scav': 2.499959703358985, 'k_inorg': 0.001, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:44:23:hist_3_v0_00: p=11422: cost=0.3673594295978546 {'c_scav': 2.499959703358985, 'k_inorg': 0.0003819721915899925, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 15:53:44:hist_3_v0_00: p=11422: cost=0.3303653597831726 {'c_scav': 2.499959703358985, 'k_inorg': 0.0006180378084100072, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:03:07:hist_3_v0_00: p=11422: cost=0.31413912773132324 {'c_scav': 2.499959703358985, 'k_inorg': 0.0007639343831799852, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
