2023-05-11 20:36:59:felx_hist: Optimisation method=Nelder-Mead
2023-05-12 00:15:03:hist_250_v0_00: p=3294: cost=0.3357739746570587 {'c_scav': 1.5734738534400017, 'k_inorg': 0.000872174882488319, 'k_org': 8.368911593472004e-05, 'mu_D': 0.019612717891584107, 'mu_D_180': 0.009234683830272043}
2023-05-12 00:24:43:hist_250_v0_00: p=3294: cost=0.3308873474597931 {'c_scav': 1.5, 'k_inorg': 0.0009014935830036467, 'k_org': 8.9232940228608e-05, 'mu_D': 0.01966634367221772, 'mu_D_180': 0.008932219954380852}
2023-05-12 00:34:23:hist_250_v0_00: p=3294: cost=0.3182739317417145 {'c_scav': 1.5, 'k_inorg': 0.0009956052129054705, 'k_org': 8.731261674291196e-05, 'mu_D': 0.01978519358832656, 'mu_D_180': 0.00834066657157127}
2023-05-12 00:43:43:hist_250_v0_00: p=3294: cost=0.31699496507644653 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 8.401949092577281e-05, 'mu_D': 0.018612369907548325, 'mu_D_180': 0.009288396983009355}
2023-05-12 00:53:10:hist_250_v0_00: p=3294: cost=0.3165115416049957 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.845349238865923e-05, 'mu_D': 0.01777687806132247, 'mu_D_180': 0.009255661074514025}
2023-05-12 01:02:45:hist_250_v0_00: p=3294: cost=0.31750819087028503 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.414752642203641e-05, 'mu_D': 0.01946807164983727, 'mu_D_180': 0.008875057618894937}
2023-05-12 01:12:14:hist_250_v0_00: p=3294: cost=0.3180420994758606 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.337022595085106e-05, 'mu_D': 0.020260689621772125, 'mu_D_180': 0.008353871962452897}
2023-05-12 01:21:44:hist_250_v0_00: p=3294: cost=0.3175058960914612 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.68880871425834e-05, 'mu_D': 0.01944331248626331, 'mu_D_180': 0.008547049497053226}
2023-05-12 01:31:11:hist_250_v0_00: p=3294: cost=0.3169465959072113 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.79096332700168e-05, 'mu_D': 0.018344415139648594, 'mu_D_180': 0.007719846598914497}
2023-05-12 01:40:36:hist_250_v0_00: p=3294: cost=0.31689512729644775 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.0994969326746805e-05, 'mu_D': 0.01833215319521095, 'mu_D_180': 0.008759928129160561}
2023-05-12 01:50:05:hist_250_v0_00: p=3294: cost=0.31613439321517944 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.9987257469166e-05, 'mu_D': 0.017085242591140908, 'mu_D_180': 0.008909145204962002}
2023-05-12 01:59:43:hist_250_v0_00: p=3294: cost=0.31517356634140015 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.829577322832347e-05, 'mu_D': 0.015497519075825299, 'mu_D_180': 0.009186781826216555}
2023-05-12 02:09:16:hist_250_v0_00: p=3294: cost=0.3156842887401581 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.686925572049548e-05, 'mu_D': 0.016289639533470977, 'mu_D_180': 0.008512649231448607}
2023-05-12 02:18:46:hist_250_v0_00: p=3294: cost=0.31493616104125977 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.012116243111332e-05, 'mu_D': 0.015052929515928001, 'mu_D_180': 0.008826897247048472}
