2023-05-20 13:00:49:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.48e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-20 15:54:50:hist_0_v0_00: p=11422: cost=0.29413414001464844 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.4995848765432108e-05, 'I_0': 297.65046296296293, 'PAR': 0.4251226851851852, 'mu_D': 0.005, 'mu_D_180': 0.03, 'gamma_2': 0.010132330246913573, 'mu_P': 0.010132330246913573, 'a': 0.5971064814814812, 'b': 1.0801064043209883, 'c': 1.013233024691358}
2023-05-20 16:05:13:hist_0_v0_00: p=11422: cost=0.29405051469802856 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 1.5028490226337459e-05, 'I_0': 297.2588734567902, 'PAR': 0.4243097993827161, 'mu_D': 0.005024498456790121, 'mu_D_180': 0.03, 'gamma_2': 0.010154385288065835, 'mu_P': 0.010154385288065835, 'a': 0.5966242283950612, 'b': 1.08245747170782, 'c': 1.0154385288065844}
2023-05-21 04:55:33:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.48e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-24 00:42:14:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 0.00099, 300, 0.43, 0.01, 0.01, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-24 00:51:48:hist_1_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:02:04:hist_1_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:12:08:hist_1_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:21:57:hist_1_v0_00: p=11422: cost=0.29580432176589966 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.001, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:31:47:hist_1_v0_00: p=11422: cost=0.29587680101394653 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 315.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:41:42:hist_1_v0_00: p=11422: cost=0.29587680101394653 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.4515, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 01:51:36:hist_1_v0_00: p=11422: cost=0.2958381175994873 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.0105, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 02:01:31:hist_1_v0_00: p=11422: cost=0.29575207829475403 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.0105, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 02:11:24:hist_1_v0_00: p=11422: cost=0.29578739404678345 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.0105, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 02:21:18:hist_1_v0_00: p=11422: cost=0.2957700490951538 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.0105, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-24 02:31:14:hist_1_v0_00: p=11422: cost=0.29583731293678284 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.63, 'b': 1.066, 'c': 1.0}
2023-05-24 02:41:09:hist_1_v0_00: p=11422: cost=0.2932484447956085 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.1193000000000002, 'c': 1.0}
2023-05-24 02:51:09:hist_1_v0_00: p=11422: cost=0.29574745893478394 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.05}
2023-05-24 03:01:12:hist_1_v0_00: p=11422: cost=0.2954742908477783 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009916666666666663, 'I_0': 302.5, 'PAR': 0.4085, 'mu_D': 0.010083333333333331, 'mu_D_180': 0.010083333333333331, 'gamma_2': 0.010083333333333331, 'mu_P': 0.010083333333333331, 'a': 0.6049999999999999, 'b': 1.0748833333333339, 'c': 1.0083333333333333}
2023-05-24 03:11:16:hist_1_v0_00: p=11422: cost=0.29535815119743347 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009919444444444442, 'I_0': 285.41666666666663, 'PAR': 0.4264166666666666, 'mu_D': 0.010097222222222218, 'mu_D_180': 0.010097222222222218, 'gamma_2': 0.010097222222222218, 'mu_P': 0.010097222222222218, 'a': 0.6058333333333331, 'b': 1.0763638888888896, 'c': 1.0097222222222224}
2023-05-24 03:21:25:hist_1_v0_00: p=11422: cost=0.295406699180603 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009922685185185182, 'I_0': 297.9861111111111, 'PAR': 0.42581944444444436, 'mu_D': 0.009530092592592588, 'mu_D_180': 0.01011342592592592, 'gamma_2': 0.01011342592592592, 'mu_P': 0.01011342592592592, 'a': 0.6068055555555553, 'b': 1.0780912037037045, 'c': 1.0113425925925927}
2023-05-24 03:31:33:hist_1_v0_00: p=11422: cost=0.29525208473205566 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009926466049382712, 'I_0': 297.65046296296293, 'PAR': 0.4251226851851852, 'mu_D': 0.009951774691358021, 'mu_D_180': 0.010132330246913573, 'gamma_2': 0.010132330246913573, 'mu_P': 0.010132330246913573, 'a': 0.5729398148148145, 'b': 1.0801064043209883, 'c': 1.013233024691358}
