2023-05-11 23:24:05:felx_hist: Optimisation method=Nelder-Mead
2023-05-11 23:35:32:hist_190_v0_00: p=2782: cost=0.2866106331348419 {'c_scav': 2.0, 'k_inorg': 0.0006, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.01}
2023-05-11 23:46:17:hist_190_v0_00: p=2782: cost=0.2870263457298279 {'c_scav': 2.1, 'k_inorg': 0.0006, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.01}
2023-05-11 23:57:09:hist_190_v0_00: p=2782: cost=0.2845305800437927 {'c_scav': 2.0, 'k_inorg': 0.0006299999999999999, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.01}
2023-05-12 00:07:59:hist_190_v0_00: p=2782: cost=0.2856150269508362 {'c_scav': 2.0, 'k_inorg': 0.0006, 'k_org': 0.000105, 'mu_D': 0.02, 'mu_D_180': 0.01}
2023-05-12 00:18:45:hist_190_v0_00: p=2782: cost=0.2862134873867035 {'c_scav': 2.0, 'k_inorg': 0.0006, 'k_org': 0.0001, 'mu_D': 0.021, 'mu_D_180': 0.01}
2023-05-12 00:29:21:hist_190_v0_00: p=2782: cost=0.28649118542671204 {'c_scav': 2.0, 'k_inorg': 0.0006, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.0105}
2023-05-12 00:40:05:hist_190_v0_00: p=2782: cost=0.29035019874572754 {'c_scav': 1.9, 'k_inorg': 0.0006119999999999998, 'k_org': 0.000102, 'mu_D': 0.020400000000000005, 'mu_D_180': 0.010200000000000002}
2023-05-12 00:50:44:hist_190_v0_00: p=2782: cost=0.2878302335739136 {'c_scav': 2.05, 'k_inorg': 0.0006029999999999999, 'k_org': 0.0001005, 'mu_D': 0.0201, 'mu_D_180': 0.01005}
2023-05-12 01:01:39:hist_190_v0_00: p=2782: cost=0.28555938601493835 {'c_scav': 2.0, 'k_inorg': 0.0006149999999999999, 'k_org': 0.0001025, 'mu_D': 0.02, 'mu_D_180': 0.01}
2023-05-12 01:12:23:hist_190_v0_00: p=2782: cost=0.28467246890068054 {'c_scav': 2.0, 'k_inorg': 0.0006149999999999999, 'k_org': 0.0001, 'mu_D': 0.0205, 'mu_D_180': 0.01}
2023-05-12 01:23:13:hist_190_v0_00: p=2782: cost=0.28548383712768555 {'c_scav': 2.0, 'k_inorg': 0.0006149999999999999, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.01025}
2023-05-12 01:34:02:hist_190_v0_00: p=2782: cost=0.28552886843681335 {'c_scav': 2.0, 'k_inorg': 0.0006149999999999999, 'k_org': 0.0001, 'mu_D': 0.02, 'mu_D_180': 0.01}
