2023-05-22 06:40:43:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.4780934529146143e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-27 13:34:46:hist_2_v0_00: p=11422: cost=0.2958095073699951 {'c_scav': 2.499826929728288, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 13:45:02:hist_2_v0_00: p=11422: cost=0.29580938816070557 {'c_scav': 2.4998930366896395, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 13:55:18:hist_2_v0_00: p=11422: cost=0.2958093583583832 {'c_scav': 2.4999263700245593, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:05:40:hist_2_v0_00: p=11422: cost=0.29580923914909363 {'c_scav': 2.499959703358985, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:15:58:hist_2_v0_00: p=11422: cost=0.3673594295978546 {'c_scav': 2.499959703358985, 'k_inorg': 0.0003819721915899925, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:26:26:hist_2_v0_00: p=11422: cost=0.3303653597831726 {'c_scav': 2.499959703358985, 'k_inorg': 0.0006180378084100072, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:36:49:hist_2_v0_00: p=11422: cost=0.31413912773132324 {'c_scav': 2.499959703358985, 'k_inorg': 0.0007639343831799852, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:47:09:hist_2_v0_00: p=11422: cost=0.30613064765930176 {'c_scav': 2.499959703358985, 'k_inorg': 0.0008541034252300219, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 14:57:36:hist_2_v0_00: p=11422: cost=0.30182403326034546 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009098309579499632, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:07:58:hist_2_v0_00: p=11422: cost=0.2993960380554199 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:18:16:hist_2_v0_00: p=11422: cost=0.2997201979160309 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0003819721915899925, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:28:39:hist_2_v0_00: p=11422: cost=0.2995935082435608 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0006180378084100072, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:39:02:hist_2_v0_00: p=11422: cost=0.29951632022857666 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0007639343831799852, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:49:26:hist_2_v0_00: p=11422: cost=0.2994687259197235 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0008541034252300219, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 15:59:55:hist_2_v0_00: p=11422: cost=0.2994382679462433 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009098309579499632, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 16:10:17:hist_2_v0_00: p=11422: cost=0.2994174659252167 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 16:20:38:hist_2_v0_00: p=11422: cost=0.29944831132888794 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 306.73762078750735, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 16:31:00:hist_2_v0_00: p=11422: cost=0.29950782656669617 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 323.26237921249265, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 16:41:25:hist_2_v0_00: p=11422: cost=0.2994012236595154 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 296.5247584249853, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 16:52:00:hist_2_v0_00: p=11422: cost=0.2993513345718384 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 290.21286236252206, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:02:19:hist_2_v0_00: p=11422: cost=0.2993347644805908 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 286.3118960624632, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:12:38:hist_2_v0_00: p=11422: cost=0.2993151843547821 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 282.32998973671147, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:22:59:hist_2_v0_00: p=11422: cost=0.29931584000587463 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 283.8509426131304, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:33:18:hist_2_v0_00: p=11422: cost=0.2993199825286865 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 282.9722294832444, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:43:41:hist_2_v0_00: p=11422: cost=0.2992939352989197 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.44001285072613, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 17:54:08:hist_2_v0_00: p=11422: cost=0.29929330945014954 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 280.8899768859854, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:04:30:hist_2_v0_00: p=11422: cost=0.2992914617061615 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1289652287386, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:14:50:hist_2_v0_00: p=11422: cost=0.29929059743881226 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1450430206562, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:25:12:hist_2_v0_00: p=11422: cost=0.2992929220199585 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.25771147008714, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:35:31:hist_2_v0_00: p=11422: cost=0.2992907166481018 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1835227505045, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:45:50:hist_2_v0_00: p=11422: cost=0.29928991198539734 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1627964474499, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 18:56:19:hist_2_v0_00: p=11422: cost=0.2992910146713257 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1635131269514, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:06:39:hist_2_v0_00: p=11422: cost=0.2992905378341675 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.15601524183154, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:17:03:hist_2_v0_00: p=11422: cost=0.29929080605506897 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16020625738844, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:27:21:hist_2_v0_00: p=11422: cost=0.2992909550666809 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16180708288374, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:37:41:hist_2_v0_00: p=11422: cost=0.2992909550666809 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1624185438129, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:48:20:hist_2_v0_00: p=11422: cost=0.2992910146713257 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16307019466046, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 19:58:41:hist_2_v0_00: p=11422: cost=0.29928991198539734 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.1626521011051, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 20:09:03:hist_2_v0_00: p=11422: cost=0.29928991198539734 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16272427427754, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 20:19:28:hist_2_v0_00: p=11422: cost=0.29928991198539734 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 20:29:47:hist_2_v0_00: p=11422: cost=0.29917681217193604 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.40493170941314754, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 20:40:06:hist_2_v0_00: p=11422: cost=0.29940131306648254 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.45556829058685244, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 20:50:23:hist_2_v0_00: p=11422: cost=0.29898524284362793 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3736365811737049, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:01:05:hist_2_v0_00: p=11422: cost=0.29884329438209534 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.35429512823944265, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:11:30:hist_2_v0_00: p=11422: cost=0.2987457513809204 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3423414529342622, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:21:48:hist_2_v0_00: p=11422: cost=0.2986694574356079 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.33495367530518044, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:32:28:hist_2_v0_00: p=11422: cost=0.29861944913864136 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3303877776290818, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:42:49:hist_2_v0_00: p=11422: cost=0.2986033856868744 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32756589767609867, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 21:53:11:hist_2_v0_00: p=11422: cost=0.2985782325267792 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32497932341511615, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 22:03:32:hist_2_v0_00: p=11422: cost=0.2985696792602539 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3259673068683858, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 22:14:01:hist_2_v0_00: p=11422: cost=0.2985678017139435 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 22:24:17:hist_2_v0_00: p=11422: cost=0.29856812953948975 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3256262914126358, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 22:34:42:hist_2_v0_00: p=11422: cost=0.2985718250274658 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3257644026676802, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
