2023-05-22 06:40:43:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.4780934529146143e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-27 10:22:05:felx_hist: Optimisation Powell method - init [2.5, 0.001, 0.00099, 300, 0.43, 0.01, 0.01, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-27 10:31:55:hist_2_v0_00: p=11422: cost=0.29580917954444885 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 10:41:56:hist_2_v0_00: p=11422: cost=0.29950833320617676 {'c_scav': 1.881966011250105, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 10:51:54:hist_2_v0_00: p=11422: cost=0.29757675528526306 {'c_scav': 2.118033988749895, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:01:55:hist_2_v0_00: p=11422: cost=0.29674670100212097 {'c_scav': 2.26393202250021, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:11:58:hist_2_v0_00: p=11422: cost=0.2963356077671051 {'c_scav': 2.3541019662496847, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:21:56:hist_2_v0_00: p=11422: cost=0.29611942172050476 {'c_scav': 2.4098300562505255, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:32:02:hist_2_v0_00: p=11422: cost=0.2959941327571869 {'c_scav': 2.4442719099991588, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:42:04:hist_2_v0_00: p=11422: cost=0.2959199845790863 {'c_scav': 2.465558146251367, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 11:52:12:hist_2_v0_00: p=11422: cost=0.29587557911872864 {'c_scav': 2.4787137637477916, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:02:17:hist_2_v0_00: p=11422: cost=0.295849084854126 {'c_scav': 2.486844382503575, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:12:37:hist_2_v0_00: p=11422: cost=0.295833021402359 {'c_scav': 2.4918693812442165, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:22:47:hist_2_v0_00: p=11422: cost=0.2958248257637024 {'c_scav': 2.4949750012593586, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:32:57:hist_2_v0_00: p=11422: cost=0.29581859707832336 {'c_scav': 2.496894379984858, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:43:25:hist_2_v0_00: p=11422: cost=0.2958148717880249 {'c_scav': 2.4980806212745, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 12:53:54:hist_2_v0_00: p=11422: cost=0.2958126366138458 {'c_scav': 2.498813758710358, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 13:04:10:hist_2_v0_00: p=11422: cost=0.295811265707016 {'c_scav': 2.4992668625641428, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 13:14:23:hist_2_v0_00: p=11422: cost=0.29581040143966675 {'c_scav': 2.499546896146215, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 13:24:32:hist_2_v0_00: p=11422: cost=0.29580986499786377 {'c_scav': 2.4997199664179273, 'k_inorg': 0.001, 'k_org': 0.00099, 'I_0': 300.0, 'PAR': 0.43, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
